 Date,Time,TimeM, Min X, Max X, Avg X, Min Y, Max Y, Avg Y, Min Z, Max Z, Avg Z, Humidity, Temperature, Lat, Lon, Altitude, Speed, Sat, Prec,Event
 04/11/2013,05:06:20,321793,25.73,32.56,31.2,43.81,49.71,44.93,22.53,32.69,31.28,37.8,20.4,57.363948,-2.07366,20.2,15.22,8,110,In car
 04/11/2013,05:06:24,324033,29.46,40.25,38.82,47.69,54.71,53.27,25.5,31.71,30.95,,,57.36378,-2.07342,18.8,16.82,8,110,In car
 04/11/2013,05:06:28,327363,31.03,35.28,32.06,42.5,45.62,43.3,32.12,34.75,33.61,37.1,20.3,57.363479,-2.07343,19.9,22.27,8,110,In car
 04/11/2013,05:06:31,330316,34.68,36.74,35.23,46.36,47.76,47.03,32.88,35.28,33.34,37.6,20.4,57.36317,-2.07332,21,28.87,8,110,In car
 04/11/2013,05:06:34,332575,33.27,35.56,34.61,46.09,47.6,46.96,31.31,33.75,32.8,37.4,20.4,57.362808,-2.07318,22.3,30.88,9,100,In car
 04/11/2013,05:06:38,334811,29.38,35.67,32.87,44.48,49.93,46.13,25.34,34.99,31.87,37,20.3,57.362289,-2.07296,25,34.17,9,100,In car
 04/11/2013,05:06:41,337780,29.97,33.35,32.25,41.88,49.09,43.02,29.37,35.25,34.08,37,20.3,57.361911,-2.07269,27.4,34.17,9,100,In car
 04/11/2013,05:06:44,340071,30.82,33.45,31.37,43.86,46.55,45.23,30.62,33.81,31.16,37.1,20.4,57.361591,-2.07229,31.2,31.73,9,100,In car
 04/11/2013,05:06:49,342312,30.68,34.67,33.22,44.16,47.05,45.38,30.48,34.27,32.88,,,57.361198,-2.07139,31.7,29.91,9,100,In car
 04/11/2013,05:06:52,345702,33.51,35.49,34.62,45.63,47.09,46.14,31.81,34.37,33.56,36.6,20.3,57.361019,-2.07076,31.4,33.86,9,100,In car
 04/11/2013,05:06:55,347926,30.39,36,31.46,44.59,47.21,45.2,28.98,36.38,31.28,37.1,20.3,57.360851,-2.07007,30.9,34.04,9,100,In car
 04/11/2013,05:06:58,350176,32.52,33.63,32.81,45.63,47.31,46.53,31.21,32.55,31.44,36.8,20.3,57.360698,-2.06933,31.2,36.73,9,100,In car
 04/11/2013,05:07:01,352743,32.32,34.39,33.03,45.55,47.65,46.82,30.58,33.88,31.39,36.7,20.3,57.360538,-2.06855,30.2,39.3,9,100,In car
 04/11/2013,05:07:04,354990,31.64,34.43,33.27,46.12,48.12,47.46,29.67,32.41,31.05,36.6,20.3,57.360359,-2.06773,30.5,40.36,9,100,In car
 04/11/2013,05:07:09,357233,33.45,36.21,35.27,48.58,50.26,49.4,28.94,31.88,31.23,,,57.359889,-2.06649,31.8,41.87,9,100,In car
 04/11/2013,05:07:12,360674,30.3,33.2,32.67,45.77,47.55,46.45,29.02,32.21,31.36,35.9,20.3,57.359508,-2.06585,32.7,42.97,9,100,In car
 04/11/2013,05:07:15,362899,31.36,33.75,32.95,46.2,47.8,47.27,29.67,32.07,30.92,36.3,20.3,57.359111,-2.06522,33,43.35,9,100,In car
 04/11/2013,05:07:18,365139,28.56,36.33,31.92,40.95,48.16,46.45,25.98,40.28,30.64,36.3,20.3,57.358699,-2.06459,33,44.29,9,100,In car
 04/11/2013,05:07:21,367706,30.89,33.52,32.38,45.98,46.92,46.41,30.03,31.78,31.11,36.3,20.3,57.35828,-2.06395,32.8,45.36,10,90,In car
 04/11/2013,05:07:24,369980,30.82,33.81,32.98,46,48.39,46.53,29.42,32.07,31.6,36.2,20.3,57.357841,-2.0633,32.3,46.47,10,90,In car
 04/11/2013,05:07:28,372214,30.53,33.16,31.43,45.74,47.69,46.33,29.02,31.76,30.27,36,20.3,57.35725,-2.06243,31.7,47.04,10,90,In car
 04/11/2013,05:07:31,375114,30.71,33.87,31.47,45,46.92,46.19,29.8,32.52,30.42,36,20.3,57.3568,-2.06179,30.8,46.81,10,90,In car
 04/11/2013,05:07:34,377380,32.19,34.3,34.11,47.12,49.09,48.5,29.04,31.78,30.93,35.9,20.3,57.356338,-2.06119,31,47.01,10,90,In car
 04/11/2013,05:07:39,379618,31.8,33.33,32.81,45,48.78,46.47,29.11,33.24,31.51,,,57.355529,-2.0603,32.1,46.46,10,90,In car
 04/11/2013,05:07:42,383062,31.68,34.3,32.37,45.87,51.08,49.58,26.49,32.07,28.4,35.1,20.3,57.355068,-2.05971,32.7,46.31,10,90,In car
 04/11/2013,05:07:45,385287,30.39,34.87,32.21,44.72,50.81,48.61,27.12,34.92,29.08,35.7,20.3,57.354621,-2.05912,33.6,46.19,10,90,In car
 04/11/2013,05:07:48,387519,31.96,35.3,33.07,44.87,47.32,46.77,29.92,34.51,31.48,35.7,20.3,57.35416,-2.05854,34.5,45.92,10,90,In car
 04/11/2013,05:07:51,390068,31.4,34.97,32.35,46.7,48.76,47.54,29.04,31.68,30.09,35.7,20.3,57.35371,-2.05797,35.3,45.77,10,90,In car
 04/11/2013,05:07:54,392317,32.23,34.81,33.84,46.04,48.24,47.46,29.57,33.14,31.6,35.7,20.3,57.353248,-2.05739,36.1,45.66,10,90,In car
 04/11/2013,05:07:59,394555,31.58,34.97,32.27,43.5,48.71,46.84,28.37,34.94,30.67,,,57.3525,-2.05644,37.3,45.78,10,90,In car
 04/11/2013,05:08:02,397959,32.16,34.78,33.42,46.01,48.83,47.37,28.8,32.41,31.28,35.2,20.3,57.352039,-2.05588,38.1,45.42,10,90,In car
 04/11/2013,05:08:05,400183,30.35,34.34,31.99,45.9,48.18,47,27.88,31.58,30.22,35.8,20.3,57.351589,-2.05533,38.8,44.72,10,90,In car
 04/11/2013,05:08:08,402438,29.72,32.82,31.4,45.61,48.69,46,29.2,31.3,30.52,35.7,20.2,57.351158,-2.05478,39.5,41.84,10,90,In car
 04/11/2013,05:08:11,404993,29.97,31.87,30.63,46.14,47.61,47.12,28.48,30.85,28.81,35.7,20.2,57.350769,-2.05429,39.7,37.45,10,90,In car
 04/11/2013,05:08:14,407251,23.96,31.86,25.53,43.54,47.56,43.77,25.06,31.12,26.49,35.7,20.2,57.35044,-2.05381,39.7,31.92,10,90,In car
 04/11/2013,05:08:19,409489,26.38,28.78,27.17,41.86,44.3,43.39,27.41,31.36,28.5,,,57.350318,-2.05295,37.2,23.14,10,90,In car
 04/11/2013,05:08:22,412896,32.84,38.24,37.33,48.7,54.5,53.73,28.37,33.35,29.22,35.1,20.2,57.35044,-2.05246,36.5,24.03,10,90,In car
 04/11/2013,05:08:25,415121,42.5,44.33,42.73,54.18,58.77,55.56,30.34,33.53,32.35,35.4,20.2,57.350288,-2.05201,36.1,26.48,10,90,In car
 04/11/2013,05:08:28,417350,34.54,37.04,36.04,45.91,48.85,47.22,31.64,35.08,33.96,34.8,20.2,57.349941,-2.05176,37.2,33.94,10,90,In car
 04/11/2013,05:08:32,420111,33.63,35.19,34.01,46.12,47.6,46.56,31.79,33.52,32.58,34.8,20.2,57.34938,-2.05157,37.7,35.79,10,90,In car
 04/11/2013,05:08:34,422349,33.23,37.26,35.51,46.97,47.68,47.41,30.96,35.13,33.26,34.8,20.2,57.34906,-2.05155,38.2,40.35,10,90,In car
 04/11/2013,05:08:39,424611,30.79,36.54,33.77,45.6,47.34,46.22,29.63,35.35,32.65,,,57.348171,-2.05168,37.4,46.91,10,90,In car
 04/11/2013,05:08:44,427983,33.11,36.23,33.78,43.26,47.57,46.58,30.86,36.49,32.35,,,57.347229,-2.05186,37.1,47.57,10,90,In car
 04/11/2013,05:08:47,431403,32.07,35.03,33.92,45.4,47.56,46.24,30.73,34.24,32.79,34.7,20.2,57.346641,-2.05197,37.1,49.39,10,90,In car
 04/11/2013,05:08:50,433628,32.22,33.51,32.98,45.5,48.24,46.3,30.08,33.05,31.8,35.4,20.2,57.346031,-2.05208,36.8,51.21,10,90,In car
 04/11/2013,05:08:53,436213,31.53,34.11,32.7,45.64,47.61,46.29,29.41,33.51,31.54,35.4,20.1,57.345401,-2.05219,36.3,51.95,10,90,In car
