Time, Min X, Max X, Avg X, Min Y, Max Y, Avg Y, Min Z, Max Z, Avg Z, Humidity, Temperature, Lat, Lon, Altitude, Speed, Sat, Prec, Date/Time, 
5155, 36.36, 39.39, 37.76, 57.16, 59.76, 59.33, 24.12, 26.29, 24.67, 76.0, 12.5, 57.291938, -2.022500, 24.80, 15.20, 9, 100, 04/21/2013 13:19:06   , 
7413, 35.86, 41.83, 39.34, 52.18, 63.27, 58.90, 21.25, 29.30, 26.35, 76.7, 12.6, 57.292011, -2.022170, 26.00, 16.54, 9, 100, 04/21/2013 13:19:09   , 
9679, 31.27, 45.00, 36.23, 53.18, 61.75, 57.59, 20.27, 32.14, 25.01, 76.1, 12.7, 57.292079, -2.021690, 25.30, 15.51, 9, 100, 04/21/2013 13:19:13   , 
12668, 33.48, 40.29, 36.91, 50.09, 61.29, 57.13, 24.90, 28.95, 25.88, 76.6, 12.7, 57.292129, -2.021380, 26.00, 15.51, 9, 100, 04/21/2013 13:19:16   , 
14934, 34.15, 45.72, 38.71, 56.57, 61.13, 59.45, 24.13, 29.48, 25.31, 76.6, 12.7, 57.292179, -2.021110, 26.90, 12.15, 9, 100, 04/21/2013 13:19:19   , 
17168, 31.50, 43.40, 36.25, 53.03, 64.63, 57.81, 22.08, 28.07, 24.77, 76.6, 12.8, 57.292240, -2.020760, 26.30, 12.22, 10, 80, 04/21/2013 13:19:23   , 
20124, 37.77, 48.44, 39.65, 52.35, 61.89, 57.34, 24.39, 34.25, 28.01, 76.6, 12.8, 57.292259, -2.020490, 25.60, 12.22, 10, 80, 04/21/2013 13:19:26   , 
22397, 36.11, 41.35, 38.49, 56.57, 59.13, 58.40, 24.64, 28.51, 26.07, 76.5, 12.9, 57.292270, -2.020190, 24.50, 13.76, 9, 90, 04/21/2013 13:19:29   , 
24630, 31.09, 49.84, 37.25, 54.20, 66.72, 58.38, 22.98, 28.56, 25.02, 76.0, 12.9, 57.292289, -2.019800, 24.60, 12.59, 10, 80, 04/21/2013 13:19:33   , 
27564, 33.69, 42.27, 40.68, 56.85, 63.43, 60.54, 22.22, 28.68, 25.85, 76.0, 12.9, 57.292308, -2.019550, 24.60, 11.35, 10, 80, 04/21/2013 13:19:36   , 
29830, 35.74, 40.53, 38.91, 54.56, 61.69, 59.90, 23.34, 28.79, 25.06, 75.8, 13.0, 57.292331, -2.019290, 24.60, 12.28, 10, 80, 04/21/2013 13:19:39   , 
32057, 37.04, 43.67, 37.87, 57.03, 62.17, 57.75, 23.43, 28.06, 26.13, 75.9, 13.1, 57.292350, -2.018930, 24.40, 12.35, 10, 80, 04/21/2013 13:19:43   , 
34983, 36.98, 40.60, 37.77, 56.01, 59.53, 58.44, 24.32, 30.03, 25.45, 75.9, 13.1, 57.292381, -2.018640, 24.00, 12.35, 10, 80, 04/21/2013 13:19:46   , 
37254, 38.53, 40.70, 39.16, 58.08, 59.66, 58.82, 25.85, 27.77, 26.23, 76.0, 13.1, 57.292400, -2.018340, 23.50, 14.29, 10, 80, 04/21/2013 13:19:49   , 
39494, 35.18, 42.99, 38.94, 55.22, 62.36, 58.05, 24.90, 29.69, 26.74, 75.5, 13.2, 57.292430, -2.017930, 22.40, 13.60, 10, 80, 04/21/2013 13:19:53   , 
42397, 35.38, 39.29, 36.93, 56.74, 60.78, 58.59, 23.96, 27.76, 24.65, 76.0, 13.2, 57.292461, -2.017650, 22.10, 13.60, 10, 80, 04/21/2013 13:19:56   , 
