 Date,Time,TimeM, Min X, Max X, Avg X, Min Y, Max Y, Avg Y, Min Z, Max Z, Avg Z, Humidity, Temperature, Lat, Lon, Altitude, Speed, Sat, Prec,Event
 04/11/2013,09:01:04,10905074,33.63,40.51,36.95,50.38,61.99,57.96,21.33,34.43,25.16,25.9,23.3,55.952388,-3.18973,95.6,1.69,7,170,Walking to Event
 04/11/2013,09:01:08,10907317,35.25,41.7,38.74,51.93,62.28,57.73,23.05,34.31,26.84,25.7,23.3,55.9524,-3.18979,95.6,2.37,7,170,Walking to Event
 04/11/2013,09:01:11,10910325,31.62,41.99,39.11,51.65,60.59,55.58,21.36,32.66,29.16,25.7,23.3,55.9524,-3.18984,94.4,2.37,7,170,Walking to Event
 04/11/2013,09:01:14,10912589,31.2,44.84,40.03,50.07,63.43,56.91,21.29,35.31,28.7,25.7,23.3,55.9524,-3.18989,93.8,1.73,7,170,Walking to Event
 04/11/2013,09:01:18,10914831,30.96,42.33,37.82,53.19,63.25,58.5,22.9,31.45,25.32,25.1,23.2,55.95235,-3.18993,95,0.52,7,170,Walking to Event
 04/11/2013,09:01:21,10917819,34.34,42.18,38.25,51.42,62.87,55.47,22.02,34.43,28.49,25.5,23.2,55.952331,-3.18996,95.9,0.52,7,170,Walking to Event
 04/11/2013,09:01:24,10920085,33.28,40.08,36.84,51.69,63.75,55.75,22.19,33.36,27,25.5,23.2,55.952308,-3.18998,99.3,0.91,6,340,Walking to Event
 04/11/2013,09:01:28,10922321,33.98,42.51,40.17,53.07,61.54,56.61,24.05,32.04,29.1,25.3,23.2,55.952289,-3.19005,104.1,2.14,6,340,Walking to Event
 04/11/2013,09:01:31,10925331,33.87,42.1,35.15,53.26,62.02,57.96,21.2,32.37,23.84,25.3,23.2,55.95227,-3.19009,106.2,2.14,6,340,Walking to Event
 04/11/2013,09:01:34,10927594,34.34,40.54,37.31,52.31,62.34,55.72,22.27,32.87,27.45,25.3,23.2,55.952259,-3.19017,106.2,2.42,6,340,Walking to Event
 04/11/2013,09:01:38,10929836,33.63,41.2,39.99,50.91,61.09,54.38,22.87,35.42,31.04,24.8,23.2,55.952251,-3.19026,105.7,2.72,6,340,Walking to Event
 04/11/2013,09:01:41,10932824,33.87,43.15,36.35,53.42,62.82,58.97,22.18,31.51,23.87,25.2,23.2,55.952239,-3.19034,104,2.72,6,350,Walking to Event
