 Date,Time,TimeM, Min X, Max X, Avg X, Min Y, Max Y, Avg Y, Min Z, Max Z, Avg Z, Humidity, Temperature, Lat, Lon, Altitude, Speed, Sat, Prec,Event
 04/11/2013,05:35:18,1625888,36.13,37.85,37.38,53.33,54.74,54.57,27.96,28.89,28.52,30.7,19.2,57.142921,-2.09813,27.9,0.07,7,110,On the train
 04/11/2013,05:35:20,1628137,35.7,37.38,36.39,53.71,54.52,53.96,27.49,29.07,28.2,30.7,19.2,57.14291,-2.09813,27.8,0.18,7,110,On the train
 04/11/2013,05:35:24,1630407,35.34,36.54,35.65,53.68,54.52,54.22,26.81,28.23,27.33,30.6,19.2,57.142879,-2.09812,26.2,0.09,7,110,On the train
 04/11/2013,05:35:27,1632658,35.76,36.92,36.2,54.26,54.68,54.38,27.15,28.18,27.67,30.5,19.2,57.142871,-2.09811,25,0.32,7,110,On the train
 04/11/2013,05:35:29,1634895,34.28,37.46,35.43,53.53,54.81,54.15,26.07,29,27.22,30.5,19.2,57.14286,-2.09811,24.4,0.06,7,110,On the train
 04/11/2013,05:35:33,1637172,34.7,38.59,35.93,54.19,56.08,55.76,25.11,29.07,26.27,30.4,19.2,57.142848,-2.09811,23.9,0.06,7,110,On the train
 04/11/2013,05:35:35,1639417,34.67,38.17,36.14,53.41,55.5,54.26,25.84,28.93,27.72,30.4,19.1,57.142848,-2.09811,23.8,0.03,7,110,On the train
 04/11/2013,05:35:39,1641696,36.25,37.11,36.98,54.09,54.58,54.31,27.82,28.48,28.41,30,19.2,57.142841,-2.09811,23.7,0.05,7,110,On the train
 04/11/2013,05:35:43,1644299,36.54,37.1,36.83,54.22,54.58,54.45,27.82,28.39,28.15,29.9,19.2,57.142841,-2.09811,23.5,0.03,7,110,On the train
 04/11/2013,05:35:47,1647224,36.11,37.05,36.58,53.77,54.44,54.19,27.91,28.72,28.17,30.2,19.2,57.142829,-2.09811,23.4,0.03,7,110,On the train
 04/11/2013,05:35:50,1650028,35.37,37.24,36.83,53.58,54.38,54.22,27.14,28.89,28.36,30.2,19.1,57.142829,-2.09811,23.3,0.05,7,110,On the train
 04/11/2013,05:35:53,1652272,35.57,38.73,36.61,54.11,55.5,54.7,26.32,29.42,27.76,30.8,19.1,57.142829,-2.09812,23.4,0.05,7,110,On the train
 04/11/2013,05:35:56,1654870,34.7,38.14,36.59,53.71,55.62,54.4,25.66,29.32,28.01,30.1,19.1,57.142829,-2.09812,23.4,0.02,7,110,On the train
 04/11/2013,05:35:59,1657150,36.27,37.3,36.74,53.81,54.54,54.36,28.06,28.52,28.16,30.1,19.1,57.142818,-2.09813,23.5,0.13,7,110,On the train
 04/11/2013,05:36:03,1659397,36.49,37.06,36.69,54.12,54.58,54.34,27.82,28.52,28.13,30,19.1,57.14281,-2.09814,23.6,0.02,7,110,On the train
 04/11/2013,05:36:05,1662050,36.11,36.96,36.29,53.95,54.54,54.19,27.82,28.71,27.91,30,19.1,57.14281,-2.09814,23.6,0.16,7,110,On the train
 04/11/2013,05:36:09,1664320,36.68,37.01,36.83,54.12,54.36,54.27,28.23,28.39,28.31,30,19.1,57.14281,-2.09815,23.5,0.05,6,110,On the train
 04/11/2013,05:36:12,1666566,36.68,37.1,36.95,53.99,54.44,54.32,28.23,28.63,28.37,30,19.1,57.14281,-2.09815,23.5,0.05,6,110,On the train
 04/11/2013,05:36:14,1668794,36.45,37.42,37.04,54.11,54.54,54.34,28.13,28.8,28.44,30,19.1,57.14281,-2.09815,23.5,0.03,7,110,On the train
 04/11/2013,05:36:18,1671072,36.68,37.29,36.79,54.09,54.44,54.22,28.14,28.71,28.32,30,19.2,57.142799,-2.09815,23.8,0.14,7,110,On the train
 04/11/2013,05:36:20,1673324,37.01,37.44,37.09,54.36,54.74,54.46,28.14,28.48,28.37,30,19.1,57.142791,-2.09816,23.9,0.08,7,110,On the train
 04/11/2013,05:36:24,1675591,36.63,37.29,36.69,53.77,54.48,54.18,28.15,28.88,28.27,30,19.1,57.142791,-2.09816,24,0.07,7,110,On the train
 04/11/2013,05:36:27,1677846,36.54,37.61,36.94,54.07,54.64,54.33,27.82,28.77,28.36,30,19.1,57.14278,-2.09816,24.1,0.07,7,110,On the train
 04/11/2013,05:36:29,1680081,36.63,37.43,37.04,54.02,54.58,54.51,28.06,28.79,28.29,30,19.1,57.14278,-2.09817,24.2,0.13,7,110,On the train
 04/11/2013,05:36:33,1682351,36.68,37.43,36.86,54.12,54.36,54.24,28.23,28.79,28.37,30,19.1,57.14278,-2.09816,24.2,0.12,7,110,On the train
 04/11/2013,05:36:35,1684597,36.82,37.3,37.12,54.11,54.54,54.47,28.15,28.79,28.39,30,19.1,57.14278,-2.09816,24.1,0.12,7,110,On the train
 04/11/2013,05:36:39,1686864,36.73,37.57,37.4,54.12,54.64,54.39,28.15,28.96,28.7,30,19.1,57.14278,-2.09815,24,0.09,7,110,On the train
 04/11/2013,05:36:42,1689122,36.82,37.38,37.01,54.22,54.87,54.36,28.02,28.63,28.39,30,19.1,57.142791,-2.09814,23.9,0.06,7,110,On the train
 04/11/2013,05:36:44,1691357,31.54,41.19,38.82,52.47,58.12,54.42,25.25,32.01,29.92,30,19.1,57.142791,-2.09813,23.9,1.42,7,110,On the train
 04/11/2013,05:36:48,1693625,33.56,41.91,35.95,52.89,57.28,54.53,26.14,33.54,27.33,30,19.1,57.142818,-2.09809,21.2,0.67,7,110,On the train
 04/11/2013,05:36:50,1695872,34.39,48.21,39.39,53.2,61.74,57.75,24.68,31.97,27.36,30,19.1,57.142829,-2.09808,20.7,0.56,7,110,On the train
 04/11/2013,05:36:55,1698148,33.77,41.92,40.3,53.02,59.85,56.37,25.53,31.85,29.44,,,57.14286,-2.09809,19.9,0.49,7,110,On the train
 04/11/2013,05:36:58,1701539,36.65,45.9,39.28,55.49,60.84,57.65,24.84,30.93,27.39,30,19.1,57.14286,-2.09808,18.5,0.59,7,110,On the train
 04/11/2013,05:37:01,1703776,36.68,39.65,37.05,53.99,55.42,54.13,28.23,30.42,28.62,30,19,57.142871,-2.09804,16.3,0.37,7,110,On the train
 04/11/2013,05:37:04,1706034,36.6,38.31,38.09,53.5,54.02,53.71,28.79,30.06,29.92,30,19.1,57.142879,-2.09802,14.8,0.12,7,110,On the train
 04/11/2013,05:37:08,1708270,36.11,39.87,36.54,53.96,55.97,54.21,27.49,29.9,28.11,30,19,57.142879,-2.09803,13.8,0.91,7,110,On the train
 04/11/2013,05:37:10,1710942,31.92,42.8,35.67,53.97,57.83,57.39,22.43,32.08,24.68,30,19,57.142879,-2.09802,11.9,0.14,7,110,On the train
 04/11/2013,05:37:14,1713225,35.99,38.48,36.29,53.57,54.76,53.72,27.88,29.45,28.32,30,19,57.142871,-2.09802,12.1,0.76,6,120,On the train
 04/11/2013,05:37:17,1715481,36.33,38.4,36.67,53.69,57.99,57.49,24.68,28.9,25.4,30,19,57.142871,-2.09802,13.6,0.15,7,110,On the train
 04/11/2013,05:37:19,1717713,33.48,47.3,40,53.48,58.36,55.29,24.29,33.74,30.17,30,19,57.14286,-2.09802,14.6,0.84,7,110,On the train
 04/11/2013,05:37:23,1719984,31.74,34.01,33.17,30.91,39.17,32.1,38.02,47.61,46.18,30,19,57.142848,-2.09802,16.1,0.17,7,110,On the train
 04/11/2013,05:37:25,1722228,33.29,35.36,33.53,47.69,51.81,47.92,29.16,31.19,30.9,30,19,57.14286,-2.09802,15.1,0.09,7,110,On the train
 04/11/2013,05:37:29,1724507,33.35,33.97,33.53,47.35,47.69,47.46,31.03,31.72,31.3,30.1,19,57.14286,-2.09801,11.3,0.06,7,110,On the train
 04/11/2013,05:37:32,1726764,33.25,33.75,33.41,46.62,47.31,47.07,31.32,31.78,31.53,30.2,19,57.142848,-2.098,7.7,0.31,7,110,On the train
 04/11/2013,05:37:34,1728990,32.32,52.45,42.94,45.52,66.1,60.51,24.86,32.18,27.71,30.3,19,57.142848,-2.09799,6.7,0.55,6,130,On the train
 04/11/2013,05:37:38,1731264,29.94,43.4,34.36,45.98,54.46,50.42,23.83,34.73,29.44,30.3,19,57.142841,-2.09798,7.5,0.56,7,110,On the train
 04/11/2013,05:37:40,1733523,27.24,54.92,35.86,50.09,66.16,55.03,22.1,32.18,26.76,30.4,19,57.142829,-2.09799,9.2,0.07,7,110,On the train
 04/11/2013,05:37:44,1735790,36.45,40.55,38.8,53.81,57.34,54.48,27.32,31.03,29.86,30.6,19,57.142818,-2.098,10.3,0.06,7,110,On the train
 04/11/2013,05:37:47,1738044,27.39,47.67,39.71,52.92,60.21,57.13,18.37,37.71,28.25,30.8,18.9,57.14281,-2.098,10.3,0.2,7,110,On the train
 04/11/2013,05:37:49,1740279,39.99,81.87,49.04,52.19,81.42,59.88,30.02,53.28,33.85,30.9,19,57.14281,-2.098,11.7,0.35,7,110,On the train
 04/11/2013,05:37:53,1742560,53.03,54.89,53.68,64.54,66.04,65.31,31.84,32.75,32.02,31.1,18.9,57.142818,-2.09803,9,0.69,7,110,On the train
 04/11/2013,05:37:55,1744807,52.04,54.97,52.98,63.73,66.18,65.03,31.41,33,31.7,31.1,19,57.142818,-2.09806,8.2,0.4,7,110,On the train
 04/11/2013,05:37:59,1747084,53.03,55.21,54.29,64.98,66.11,65.69,31.63,32.52,32.14,31.2,18.9,57.142818,-2.09811,9.1,0.76,7,110,On the train
